ID,Exchange,RemoteName,CLLIcode,Description
3354,FORSYTH,FORSYTH CXR6 CABINET,FRSYMTXCDS1,FRSY-FRSX
3355,,,,
3356,GILLETTE,PINE TREE,GLTTWYHF0MD,GLTT-PNTR
3370,,,,AT&T 10139691
3374,ROSEBUD,NORTH ROSEBUD HUT,RSBDMTXCRS1,RSBD-NRSB
3375,FORSYTH,HOWARD CXR,FRSYMTXCDS1,FRSY-HOWD
3376,,,,
3773,DUBOIS,BROOKS LAKE,DUBSWYXCDS0,BRKS SAI CABINET
3774,DUBOIS,UPPER DUNOIR,DUBSWYXCDS0,UDNR SAI
3775,DUBOIS,LOWER DUNOIR,DUBSWYXCDS0,LDNR SAI
3776,DUBOIS,BUFFALO BUTTES,DUBSWYXCDS0,BUFF SAI CABINET
3777,DUBOIS,RIVER PARK,DUBSWYXCDS0,RPRK CABINET SAI
3778,DUBOIS,JAKEY'S FORK,DUBSWYXCDS0,JFRK CABINET SAI
3779,DUBOIS,EAST FORK,DUBSWYXCDS0,EFRK SAI CABINET
3780,DUBOIS,THUNDERHEAD,DUBSWYXCDS0,THED CABINET SAI
3781,DUBOIS,BITTERROOT,DUBSWYXCDS0,BROT CABINET SAI
3782,DUBOIS,DINWOODY,DUBSWYXCDS0,DNWY CABINET SAI
3783,DUBOIS,BURRIS,DUBSWYXCDS0,BURS CABINET SAI
3784,DUBOIS,PORCUPINE,DUBSWYXCDS0,PORC CABINET SAI
3785,DUBOIS,RICE,DUBSWYXCDS0,RICE HUT SAI
3786,DUBOIS,DUNOIR,DUBSWYXCDS0,DUNR HUT SAI
3787,DUBOIS,TETON VALLEY RANCH CAMP,DUBSWYXCDS0,TVRC CABINESAI
3788,DUBOIS,TIMBERLINE,DUBSWYXCDS0,TIMB HUT SAI
3789,DUBOIS,PINNACLES,DUBSWYXCDS0,PINN HUT SAO
3790,DUBOIS,UNION PASS,DUBSWYXCDS0,UPAS HUT SAI
3791,DUBOIS,UPPER LITTLE WARM SPRINGS,DUBSWYXCDS0,ULWS HUT SAI
3792,DUBOIS,TORREY LAKE,DUBSWYXCDS0,TRLY CABINET SAI
3793,DUBOIS,EAST DINWOODY,DUBSWYXCDS0,EDIN CABINET SAI
3795,DUBOIS,TOGWOTEE,DUBSWYXCDS0,TOGW HUT ONLY
3796,DUBOIS,RIVERS EDGE,DUBSWYXCDS0,REDG CABINET
3797,DUBOIS,CROWHEART,DUBSWYXCDS0,CWHT HUT SAI
3798,DUBOIS,PAINTED HILLS,DUBSWYXCDS0,PTHL CABINET PON SAI
3799,DUBOIS,DUBOIS,DUBSWYXCDS0,DUBS CO SAI
3800,DUBOIS,EAST CROWHEART,DUBSWYXCDS0,ECRW SAI
3801,DUBOIS,WINDY,DUBSWYXCDS0,WIND BLDG IS NOW A SAI
3802,DUBOIS,BURRIS-LENORE,DUBSWYXCDS0,BURL CABINET SAI
3803,DUBOIS,WARM VALLEY LODGE,DUBSWYXCDS0,WVLG
3804,DUBOIS,HEADWATERS,DUBSWYXCDS0,HEADWATERS
3806,DUBOIS,WELLS FARGO,DUBSWYXCDS0,WFAR IN SUBSCRIBER BLDG THEIR SAI
3807,DUBOIS,STONEY POINT,DUBSWYXCDS0,STPT CABINET SAI
3808,DUBOIS,BLUE,DUBSWYXCDS0,BLUE SAI H-BRACE
3809,DUBOIS,RING LAKE RANCH,DUBSWYXCDS0,RGRH H-BRACE SAI
3810,DUBOIS,LAKE RANCH,DUBSWYXCDS0,LKRH PROPOSED SAI H-BRACE
3811,DUBOIS,RED ROCKS,DUBSWYXCDS0,REDR H-BRACE SAI
3812,DUBOIS,WEST DINWOODY,DUBSWYXCDS0,WDIN H-BRACE SAI
3813,DUBOIS,SPRING RANCH,DUBSWYXCDS0,SPRH H-BRACE SAI
3816,DUBOIS,UPPER HILL,DUBSWYXCDS0,UPHL H-BRACE SAI
3818,DUBOIS,LITTLE WARM SPRINGS,DUBSWYXCDS0,LWSP H-BRACE SAI
3819,DUBOIS,MUSTANG,DUBSWYXCDS0,MSTG H-BRACE SAI
3820,DUBOIS,CM RANCH,DUBSWYXCDS0,CMRH SAI
3821,DUBOIS,DIAMOND D RANCH,DUBSWYXCDS0,DDRH H-BRACE SAI
3822,DUBOIS,RIVERVIEW PARK,DUBSWYXCDS0,RVPK CABINET SAI
